Product_Group_ID,Group_Name,Group_Description,Parent_Group_ID,Group_Code,Category,Status,Created_Date,Updated_Date,Group_Manager
2,Computers,"Peace face teacher page such. Western go hundred game traditional us another. Western ball wish top success about weight.
Marriage economic big or space quite. What send good dog.",9.0,GRP-511,Gadgets,Không hoạt động,2023-08-10,2024-02-11,Elizabeth Nguyen
3,Home Entertainment,"Miss agency heart increase. Rest late idea significant whole contain eat job. Woman practice such charge south laugh.
Blood strong high crime political particularly dog.",2.0,GRP-305,Gadgets,Hoạt động,2021-05-05,2024-05-18,Lauren Molina
4,Cameras,Wonder occur argue camera character generation. Sure your spend upon east term same whatever. Ask chance language.,1.0,GRP-730,Electronics,Hoạt động,2022-08-01,2024-02-14,Shannon Rhodes
5,Audio,Long majority bank main open avoid attack crime. Generation candidate hold although allow serve. Attack care report thousand.,1.0,GRP-129,Appliances,Không hoạt động,2023-02-21,2024-05-26,Dawn Turner
6,Networking,"Foreign language focus. Owner hold fund role body sense information audience.
Doctor significant huge idea resource.
Play rate if admit contain team. Suggest street always card.",5.0,GRP-585,Gadgets,Không hoạt động,2023-04-06,2024-04-24,Emily Peters
7,Gaming,"Add debate above ever world wide two. Development station around through front.
Nice local arm. Yard with those base ten.",8.0,GRP-553,Electronics,Hoạt động,2023-01-16,2024-06-02,Felicia Obrien
8,Smart Home,Require own discover vote too. Relationship wear cause story.,9.0,GRP-997,Electronics,Không hoạt động,2022-05-19,2024-03-20,Karen Ferrell
9,Wearables,"Radio usually good. Care interview some.
Wrong plan increase. Color task really. Group expert increase few.",9.0,GRP-669,Electronics,Hoạt động,2021-09-24,2024-05-31,Linda Evans
10,Accessories,Like debate sit bank. Field ball prevent own good bag financial day. Visit add laugh animal article prove.,2.0,GRP-297,Gadgets,Không hoạt động,2023-09-02,2024-04-20,David Smith
